sent_id,filename,sentence_nr,token_nr,word,label,POS,lemma,pos_category,isExpression,hasPrefix,hasSuffix,isAntonym,previous_lemma,next_lemma,previous_POS,next_POS,norm_position_binned,sentiment_category
ba01_0,baskervilles01,0,0,Chapter,O,NN,chapter,NOUN,False,False,False,False,,1.,,CD,"[0.0, 0.1)",Neutral
ba01_0,baskervilles01,0,1,1.,O,CD,1.,OTHER,False,False,False,False,chapter,mr.,NN,NN,"[0.2, 0.3)",Neutral
ba01_0,baskervilles01,0,2,Mr.,O,NN,mr.,NOUN,False,False,False,False,1.,sherlock,CD,NN,"[0.5, 0.6)",Neutral
ba01_0,baskervilles01,0,3,Sherlock,O,NN,sherlock,NOUN,False,False,False,False,mr.,holmes,NN,NNS,"[0.7, 0.8)",Neutral
ba01_0,baskervilles01,0,4,Holmes,O,NNS,holmes,NOUN,False,False,False,False,sherlock,,NN,,"[0.9, 1.001)",Neutral
ba01_1,baskervilles01,1,0,Mr.,O,NN,mr.,NOUN,False,False,False,False,,sherlock,,NN,"[0.0, 0.1)",Neutral
ba01_1,baskervilles01,1,1,Sherlock,O,NN,sherlock,NOUN,False,False,False,False,mr.,holmes,NN,NNS,"[0.0, 0.1)",Negative
ba01_1,baskervilles01,1,2,Holmes,O,NNS,holmes,NOUN,False,False,False,False,sherlock,",",NN,",","[0.0, 0.1)",Positive
ba01_1,baskervilles01,1,3,",",O,",",",",OTHER,False,False,False,False,holmes,who,NNS,WP,"[0.0, 0.1)",Negative
ba01_1,baskervilles01,1,4,who,O,WP,who,OTHER,False,False,False,False,",",be,",",VBD,"[0.1, 0.2)",Negative
ba01_1,baskervilles01,1,5,was,O,VBD,be,VERB,False,False,False,False,who,usually,WP,RB,"[0.1, 0.2)",Negative
ba01_1,baskervilles01,1,6,usually,O,RB,usually,ADV,False,False,False,False,be,very,VBD,RB,"[0.1, 0.2)",Negative
ba01_1,baskervilles01,1,7,very,O,RB,very,ADV,False,False,False,False,usually,late,RB,RB,"[0.2, 0.3)",Negative
ba01_1,baskervilles01,1,8,late,O,RB,late,ADV,False,False,False,False,very,in,RB,IN,"[0.2, 0.3)",Negative
ba01_1,baskervilles01,1,9,in,O,IN,in,OTHER,False,False,False,False,late,the,RB,DT,"[0.2, 0.3)",Neutral
ba01_1,baskervilles01,1,10,the,O,DT,the,OTHER,False,False,False,False,in,morning,IN,NNS,"[0.3, 0.4)",Neutral
ba01_1,baskervilles01,1,11,mornings,O,NNS,morning,NOUN,False,False,False,False,the,",",DT,",","[0.3, 0.4)",Neutral
ba01_1,baskervilles01,1,12,",",O,",",",",OTHER,False,False,False,False,morning,save,NNS,VBP,"[0.3, 0.4)",Neutral
ba01_1,baskervilles01,1,13,save,B-NEG,VBP,save,VERB,False,False,False,False,",",upon,",",IN,"[0.4, 0.5)",Neutral
ba01_1,baskervilles01,1,14,upon,O,IN,upon,OTHER,False,False,False,False,save,those,VBP,DT,"[0.4, 0.5)",Neutral
ba01_1,baskervilles01,1,15,those,O,DT,those,OTHER,False,False,False,False,upon,not,IN,RB,"[0.4, 0.5)",Neutral
ba01_1,baskervilles01,1,16,not,B-NEG,RB,not,ADV,False,False,False,False,those,infrequent,DT,JJ,"[0.5, 0.6)",Neutral
ba01_1,baskervilles01,1,17,infrequent,B-NEG,JJ,infrequent,ADJ,False,True,False,True,not,occasion,RB,NNS,"[0.5, 0.6)",Neutral
ba01_1,baskervilles01,1,18,occasions,O,NNS,occasion,NOUN,False,False,False,False,infrequent,when,JJ,WRB,"[0.5, 0.6)",Neutral
ba01_1,baskervilles01,1,19,when,O,WRB,when,OTHER,False,False,False,False,occasion,he,NNS,PRP,"[0.5, 0.6)",Neutral
ba01_1,baskervilles01,1,20,he,O,PRP,he,PRON,False,False,False,False,when,be,WRB,VBD,"[0.6, 0.7)",Neutral
ba01_1,baskervilles01,1,21,was,O,VBD,be,VERB,False,False,False,False,he,up,PRP,RB,"[0.6, 0.7)",Neutral
ba01_1,baskervilles01,1,22,up,O,RB,up,ADV,False,False,False,False,be,all,VBD,RB,"[0.6, 0.7)",Neutral
ba01_1,baskervilles01,1,23,all,O,RB,all,ADV,False,True,False,False,up,night,RB,NN,"[0.7, 0.8)",Neutral
ba01_1,baskervilles01,1,24,night,O,NN,night,NOUN,False,False,False,False,all,",",RB,",","[0.7, 0.8)",Neutral
ba01_1,baskervilles01,1,25,",",O,",",",",OTHER,False,False,False,False,night,be,NN,VBD,"[0.7, 0.8)",Neutral
ba01_1,baskervilles01,1,26,was,O,VBD,be,VERB,False,False,False,False,",",seat,",",VBN,"[0.8, 0.9)",Neutral
ba01_1,baskervilles01,1,27,seated,O,VBN,seat,OTHER,False,False,False,False,be,at,VBD,IN,"[0.8, 0.9)",Neutral
ba01_1,baskervilles01,1,28,at,O,IN,at,OTHER,False,False,False,False,seat,the,VBN,DT,"[0.8, 0.9)",Neutral
